title,author,group,genre,n_chars,n_types,TTR,hapax_ratio,shannon_bits,yule_K,simpson_D,mean_clause_len,n_clauses,func_word_rate
凤凰台上忆吹箫·寸寸微云,贺双卿,贺双卿,词,95,63,0.6632,0.5556,5.8502,86.43,0.0087,4.13,23,0.1789
惜黄花慢·孤雁,贺双卿,贺双卿,词,108,105,0.9722,0.9714,6.6993,5.14,0.0005,4.32,25,0.1667
望江南·春不见,贺双卿,贺双卿,词,54,51,0.9444,0.9608,5.6298,27.43,0.0028,5.40,10,0.1852
薄幸·咏疟,贺双卿,贺双卿,词,108,106,0.9815,0.9811,6.7179,3.43,0.0003,4.50,24,0.1481
春从天上来·饷耕,贺双卿,贺双卿,词,104,69,0.6635,0.8696,5.2523,713.76,0.0721,4.33,24,0.1154
摸鱼儿·谢邻女韩西馈食,贺双卿,贺双卿,词,116,112,0.9655,0.9643,6.7890,5.95,0.0006,4.83,24,0.1207
湿罗衣·世间难吐是幽情,贺双卿,贺双卿,词,42,36,0.8571,0.8889,5.0590,102.04,0.0105,4.67,9,0.3095
一剪梅·寒热如潮势未平,贺双卿,贺双卿,词,60,56,0.9333,0.9643,5.7484,33.33,0.0034,5.00,12,0.2000
凤凰台上忆吹箫·残灯,贺双卿,贺双卿,词,95,89,0.9368,0.9326,6.4435,13.30,0.0013,4.13,23,0.2421
春从天上来·梅花,贺双卿,贺双卿,词,104,97,0.9327,0.9485,6.5513,16.64,0.0017,4.65,23,0.1154
高山流水·次夫子清风阁落成韵,顾太清,顾太清,词,102,96,0.9412,0.9375,6.5548,11.53,0.0012,4.43,23,0.1176
菩萨蛮·端午日咏盆中菊,顾太清,顾太清,词,44,42,0.9545,0.9524,5.3685,20.66,0.0021,5.50,8,0.0909
玉烛新·白海棠,顾太清,顾太清,词,101,94,0.9307,0.9255,6.5196,13.72,0.0014,4.21,24,0.0990
临江仙·清明前一日种海棠,顾太清,顾太清,词,60,59,0.9833,0.9831,5.8736,5.56,0.0006,6.00,10,0.1500
醉翁操·题云林湖月沁琴图小照,顾太清,顾太清,词,91,77,0.8462,0.8182,6.2001,33.81,0.0034,4.33,21,0.1319
金缕曲·咏白海棠,顾太清,顾太清,词,116,103,0.8879,0.8835,6.6273,20.81,0.0021,4.83,24,0.1034
南乡子·咏瑞香,顾太清,顾太清,词,56,53,0.9464,0.9434,5.7002,19.13,0.0019,5.60,10,0.1607
鹊桥仙·云林瞩题闰七夕联吟图,顾太清,顾太清,词,56,52,0.9286,0.9231,5.6645,25.51,0.0026,4.67,12,0.1250
鹊桥仙·丙寅中秋是日秋分,顾太清,顾太清,词,56,50,0.8929,0.9000,5.5796,44.64,0.0045,4.67,12,0.1429
江城子·落花,顾太清,顾太清,词,70,57,0.8143,0.8246,5.7063,77.55,0.0079,5.00,14,0.2000
金缕曲·闷欲呼天说,吴藻,吴藻,词,116,112,0.9655,0.9643,6.7890,5.95,0.0006,4.72,25,0.1466
浣溪沙·一卷离骚一卷经,吴藻,吴藻,词,42,38,0.9048,0.8947,5.2018,45.35,0.0046,7.00,6,0.1667
行香子·长夜迢迢,吴藻,吴藻,词,66,59,0.8939,0.9153,5.8094,41.32,0.0042,3.67,18,0.0909
金缕曲·生本青莲界,吴藻,吴藻,词,116,112,0.9655,0.9732,6.7825,7.43,0.0007,4.46,26,0.1552
如梦令·燕子未随春去,吴藻,吴藻,词,33,31,0.9394,0.9355,4.9232,36.73,0.0038,4.71,7,0.2121
苏幕遮·曲栏干,吴藻,吴藻,词,62,45,0.7258,0.6667,5.3736,104.06,0.0106,4.43,14,0.1129
洞仙歌·珊珊琐骨,吴藻,吴藻,词,83,78,0.9398,0.9359,6.2546,14.52,0.0015,4.61,18,0.0843
水调歌头,吴藻,吴藻,词,95,87,0.9158,0.9310,6.3855,22.16,0.0022,5.00,19,0.1053
金缕曲,吴藻,吴藻,词,116,110,0.9483,0.9455,6.7545,8.92,0.0009,4.46,26,0.0948
十六字令,吴藻,吴藻,词,16,16,1.0000,1.0000,4.0000,0.00,0.0000,4.00,4,0.1875
木兰花·拟古决绝词柬友,纳兰性德,纳兰性德,词,56,48,0.8571,0.8542,5.5082,57.40,0.0058,7.00,8,0.2143
浣溪沙·谁念西风独自凉,纳兰性德,纳兰性德,词,42,41,0.9762,0.9756,5.3447,11.34,0.0012,7.00,6,0.1905
长相思·山一程,纳兰性德,纳兰性德,词,36,31,0.8611,0.9032,4.8366,123.46,0.0127,4.50,8,0.1944
浣溪沙·残雪凝辉冷画屏,纳兰性德,纳兰性德,词,42,39,0.9286,0.9231,5.2495,34.01,0.0035,7.00,6,0.2381
画堂春·一生一代一双人,纳兰性德,纳兰性德,词,47,41,0.8723,0.9512,5.2064,117.70,0.0120,5.88,8,0.2340
蝶恋花·出塞,纳兰性德,纳兰性德,词,60,54,0.9000,0.9259,5.6736,50.00,0.0051,6.00,10,0.1833
采桑子·而今才道当时错,纳兰性德,纳兰性德,词,44,44,1.0000,1.0000,5.4594,0.00,0.0000,5.50,8,0.2727
采桑子·明月多情应笑我,纳兰性德,纳兰性德,词,44,39,0.8864,0.8718,5.2322,51.65,0.0053,5.50,8,0.2955
采桑子·谁翻乐府凄凉曲,纳兰性德,纳兰性德,词,44,34,0.7727,0.8529,4.8774,196.28,0.0201,5.50,8,0.2955
临江仙·寒柳,纳兰性德,纳兰性德,词,60,57,0.9500,0.9474,5.8069,16.67,0.0017,6.00,10,0.1833
清平乐·池上纳凉,项鸿祚,项鸿祚,词,46,46,1.0000,1.0000,5.5236,0.00,0.0000,5.75,8,0.1522
减字木兰花·春夜闻隔墙歌吹声,项鸿祚,项鸿祚,词,44,44,1.0000,1.0000,5.4594,0.00,0.0000,5.50,8,0.1136
太常引·客中闻歌,项鸿祚,项鸿祚,词,49,43,0.8776,0.8605,5.3698,49.98,0.0051,4.45,11,0.1429
玉漏迟三首·其二,项鸿祚,项鸿祚,词,94,92,0.9787,0.9783,6.5120,4.53,0.0005,4.48,21,0.0851
水龙吟·秋声,项鸿祚,项鸿祚,词,102,97,0.9510,0.9485,6.5744,9.61,0.0010,4.25,24,0.1961
湘月,项鸿祚,项鸿祚,词,100,98,0.9800,0.9898,6.5963,6.00,0.0006,4.55,22,0.0900
风入松二首 其一,项鸿祚,项鸿祚,词,76,74,0.9737,0.9730,6.1953,6.93,0.0007,5.43,14,0.1053
虞美人二首 其二,项鸿祚,项鸿祚,词,56,52,0.9286,0.9231,5.6645,25.51,0.0026,5.60,10,0.1071
扬州慢·脱叶辞萤,项鸿祚,项鸿祚,词,98,96,0.9796,0.9792,6.5739,4.16,0.0004,4.67,21,0.0918
临江仙四首 其一,项鸿祚,项鸿祚,词,60,56,0.9333,0.9286,5.7736,22.22,0.0023,6.00,10,0.2000
偶成赠懒云上人 其二,史震林,史震林,诗,40,40,1.0000,1.0000,5.3219,0.00,0.0000,5.00,8,0.0750
偶成赠懒云上人 其一,史震林,史震林,诗,40,38,0.9500,0.9474,5.2219,25.00,0.0026,5.00,8,0.1750
